city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop
Fairfax,1980,174.9493614,3.692398582,16.70370787,88.44173747,66.11151747,568736
Virginia Beach,2008,239.5413704,3.224595371,16.81396158,121.8436394,97.65917409,434163
Fresno,2008,584.7940924,8.408254383,16.81650877,206.8430578,352.7262714,475723
Honolulu,2012,239.3749199,1.127193544,16.90790316,93.65953631,127.6802869,975875
Seattle,2009,640.7969051,3.651264416,16.92858957,297.4120834,322.8049677,602531
Rockville,1975,194.9235222,3.82993477,16.93234319,116.5106472,57.65059707,496092
San Francisco,2007,874.081322,13.62771004,17.03463755,513.9009456,329.5180288,733799
Tampa,2011,654.7472112,8.228420966,17.04458629,172.5029681,456.9712358,340284
Fairfax,1981,161.1189313,2.415058927,17.0779167,91.94474345,49.68121222,579696
Fairfax,1977,162.477541,2.51154344,17.19441278,80.94897703,61.82260775,517610
Tampa,2014,582.4307523,7.840413974,17.36091666,143.9275994,413.3018223,357124
New York City,2005,673.0542936,6.641456241,17.39839743,304.6198167,344.3946233,8115690
Baltimore,2011,522.9732939,3.691576192,17.47346064,178.5492352,323.2590219,812661
Virginia Beach,1975,208.110796,10.12928653,17.49604037,89.32189031,91.16357877,217192
Newark,2014,1078.069578,33.67847802,17.55580237,688.617391,338.2179069,279110
New York City,2004,687.3940682,7.035889579,17.62675495,300.8521697,361.879254,8101321
Rockville,1976,194.144421,5.416046078,17.70630449,117.486538,53.53553239,480055
Baltimore,2012,506.8718122,2.934842821,17.73134204,167.1637557,319.0418716,817761
Fresno,2009,609.3026155,8.725097119,17.86567505,225.3983422,357.313501,481370
Baltimore,2006,718.5391733,4.313264812,17.8873629,264.3777608,431.9607848,788266
Fairfax,1978,175.371493,3.251161812,17.97701237,94.09244774,60.05087112,522890
Los Angeles,2014,457.8488568,6.385242356,18.07653118,115.1142284,318.2728549,1111939
Newark,2008,950.7198307,23.9467025,18.22808698,495.7324832,412.8125581,279788
Miami,2015,1021.305161,17.12449968,18.26613299,383.8171195,602.0974087,437969
Raleigh,2013,392.3140937,2.79724844,18.4152189,141.0279422,230.0736842,428993
Raleigh,2014,394.6500959,3.649943084,18.7059583,154.8944596,217.3997349,438363
Fairfax,1992,130.5848105,2.217477915,18.72536906,58.27039187,51.37157169,811733
Baltimore,2008,622.3033732,3.809243256,18.79226673,219.0314872,380.670376,787558
New York City,2001,849.7176499,7.839942525,19.07013047,351.5136075,471.2939694,8023018
Baltimore,2009,571.8574014,4.036046944,19.17122299,185.532033,363.1180985,792855
New Orleans,2005,451.3337019,29.80098127,19.21947343,163.2575496,239.0556976,463072
Baltimore,2007,678.6181191,4.582677225,19.22178503,227.351709,427.4619479,785567
Virginia Beach,1998,226.9575085,3.20950012,19.25700072,112.1032542,92.38775346,436205
Rockville,1996,270.8613265,1.501309893,19.26681029,122.9823021,127.1109043,799302
San Francisco,2013,847.1415568,5.756341269,19.30772801,503.9197086,318.1577789,833863
Mesa,1975,235.9157419,1.767159115,19.43875027,86.59079664,128.1190358,113176
Virginia Beach,2007,248.656361,3.670204591,19.49796189,126.6220584,98.86613617,435943
Rockville,1998,226.1444101,1.476459696,19.56309097,87.60327528,117.5015841,812755
Raleigh,1976,358.5584734,7.427764986,19.58228951,93.184688,238.3637309,148093
Seattle,2012,603.319694,3.988099511,19.62144959,229.0764359,350.633709,626865
Rockville,2000,197.6538534,1.284983681,19.62520531,82.70622236,94.03744209,856042
Los Angeles,2010,614.4165171,8.132956822,19.6704072,167.3875997,419.2255534,1057426
Los Angeles,2013,426.0162811,6.471198654,19.69719431,203.2884517,196.5594364,3878725
Newark,2012,1154.510839,34.42019892,19.71990563,708.4824278,391.8883065,278906
Rockville,1985,286.5943531,2.090657895,19.86125,117.5995066,147.0429386,573982
Sacramento,2013,656.0263665,7.110263456,19.8669126,242.1672083,386.8819822,478182
New York City,2003,734.1012039,7.37213058,19.86894155,320.9284785,385.9316533,8098066
San Francisco,2004,757.1483245,11.57357175,19.99071484,399.9458146,325.6382233,760353
New Orleans,2006,523.0161915,37.57366874,20.17845173,176.5034686,288.7606024,431153
New York City,2000,945.1719833,8.403804164,20.35393876,406.5543179,509.8599224,8008278
Wichita,1975,438.5897238,13.88674587,20.44437587,246.8754822,157.3831199,259240
Los Angeles,2009,644.0614872,10.04499567,20.58239309,186.6202627,426.8138357,1015431
San Francisco,2006,875.6374944,11.52683675,20.64107977,517.0992581,326.3703197,746085
Los Angeles,2006,682.8611225,12.64557634,20.79494776,188.0912392,461.3293592,1067567
San Francisco,2008,844.9603079,12.27848609,20.79825194,514.6940903,297.1894796,798144
Newark,2011,1166.278267,33.80516716,20.85850739,710.9873986,400.6271937,278064
New York City,2002,789.6280044,7.260634386,20.89133131,336.7969569,424.6790818,8084693
Rockville,1978,216.6599714,1.903866181,20.94252799,100.9049076,92.90866964,525247
Fresno,2007,644.4712709,11.01298261,20.96702459,233.8140924,378.6771714,472170
Seattle,2015,598.6543806,3.364048559,21.06186924,224.0748866,350.1535761,683700
Seattle,2008,576.3471928,4.848873974,21.06752141,269.530512,280.9002854,598077
Honolulu,2011,245.9871402,1.453088592,21.06978458,85.2132667,138.2510003,963465
Tampa,2015,630.6551074,9.33084145,21.13161152,184.1469004,416.0457541,364383
Atlanta,2010,1368.799747,22.14269898,21.19032483,514.7582279,810.7084949,420003
Fairfax,1975,164.9911356,4.30411658,21.31562497,88.74678472,50.6246093,487905
Baltimore,1975,196.0588893,3.893147127,21.33444625,116.7944138,54.03688212,642154
Los Angeles,2004,685.9493268,16.19377664,21.33768216,169.1773371,479.2405309,1049786
Los Angeles,1999,899.6099196,11.67546984,21.35513287,200.5785844,666.0007325,1002101
Rockville,1977,186.5569049,2.851306407,21.38479806,98.5737358,63.74706468,491003
Newark,2007,862.0135781,37.12190978,21.41648641,394.06335,409.4118319,280158
Sacramento,2015,737.3646412,8.780581438,21.44095467,239.7302932,467.4128119,489717
Pittsburgh,2010,913.4349706,17.87862042,21.4543445,386.8283327,487.2736729,307630
Upper Marlboro,2013,516.6769205,7.524421173,21.54049983,233.5521317,254.0598678,677793
Rockville,1997,265.7049964,2.740510981,21.5503818,104.7622607,136.651843,802770
Los Angeles,2011,522.3851619,7.740004644,21.57819477,262.6128848,230.4540777,3837207
Baltimore,2008,1588.529806,36.87658479,21.59013725,634.466369,895.5967151,634549
Upper Marlboro,2012,589.4662164,7.303121265,21.61127721,297.4904091,263.0614088,670946
Baltimore,2006,1696.478427,43.29031489,21.64515744,663.3142814,968.2286732,637556
Milwaukee,1975,475.1108073,10.38007382,21.64986825,291.828361,151.2525042,674369
Long Beach,2005,708.5250214,8.754942895,21.67890622,292.4567829,385.6343894,479729
Los Angeles,2003,768.917631,13.89087177,21.70448714,169.3914641,563.930808,1036652
Pittsburgh,2011,802.3097188,14.25752327,21.71031953,364.862982,401.478894,308609
Long Beach,2013,499.5049663,7.23920241,21.93052495,238.0420087,232.2932303,469665
Los Angeles,2007,784.3326925,12.79679496,21.96615197,220.1653306,529.404415,992436
Los Angeles,2005,704.450153,15.86641986,22.00521325,180.3860829,486.192437,1058840
Mesa,1983,488.6412345,4.898658992,22.04396546,91.8498561,369.8487539,163310
Seattle,2006,711.2365787,5.13899262,22.09766827,285.5566899,398.4432278,583772
San Francisco,2009,735.6546116,5.557236448,22.10545165,422.7204525,285.271471,809755
Baltimore,1976,279.9014274,2.957801513,22.10567446,107.1035495,147.7344019,642369
Baltimore,1983,899.0511511,5.084454281,22.1323304,188.4238939,683.4104725,668705
Tampa,2013,596.9019168,7.97007805,22.20236028,165.0944739,401.6350046,351314
San Diego,2011,387.5712933,2.885522952,22.24890065,110.5610899,251.8757798,1316919
Honolulu,2008,284.1068948,1.985989944,22.39755326,102.3888149,157.3345367,906349
Virginia Beach,2005,255.124897,4.255814787,22.39902519,139.0979465,89.37211053,446448
Honolulu,2013,231.1403772,1.827999468,22.44377124,75.45575581,131.4128506,984683
Baltimore,2005,712.9166412,5.084090863,22.49710207,224.3355093,460.999939,786768
Virginia Beach,1995,222.0392285,3.670069892,22.70855746,109.8727174,85.78788372,435959
Miami,2010,624.2852083,7.840741031,22.71111195,160.6000059,433.1333494,1109589
San Diego,2012,413.0814351,3.51145369,22.71238131,113.3377712,273.5198289,1338477
Virginia Beach,2015,138.2517994,4.196140875,22.74750054,59.62937034,51.67878762,452797
