city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop,lon,lat
Denver,1992,1076.37535723565,19.282605871655,88.6999870096129,366.166536762795,602.226227591582,492672,-104.9847,39.73915
Detroit,1992,2532.92699745625,56.9853504551166,117.322780348769,1167.86447638604,1190.75439026633,1044128,-83.04575,42.33143
El Paso,1992,1087.64036553379,8.21424237615629,50.7789528707844,300.566596036628,728.080574250217,535655,-106.48693,31.75872
Fairfax,1992,130.584810522672,2.21747791453594,18.7253690560812,58.2703918653055,51.3715716867492,811733,-77.27622,38.83469
Fort Worth,1992,2018.64755772017,32.8846972243596,112.839647338489,749.68512365076,1123.23808950656,465262,-97.32085,32.72541
Fresno,1992,1459.81229040547,22.0482557379905,55.2567396890379,842.188929053613,540.318365924829,367376,-119.77237,36.74773
Honolulu,1992,272.136200626759,3.54165500395866,37.2445010093717,115.73214577452,115.617898838908,875297,-157.96138,21.45543
Houston,1992,1465.10315064719,27.4297606414199,68.957828365204,656.544593417211,712.17096822336,1695239,-95.36327,29.76328
Indianapolis,1992,1379.55329521712,17.8163618989002,109.530133946648,436.703325180998,815.50347419057,493928,-86.15804,39.76838
Jacksonville,1992,1739.42120714145,18.5269144854865,107.395853887414,544.359910167059,1069.13852860149,663899,-81.65565,30.33218
Kansas City,1992,2854.73363526324,34.0011152365798,127.84419328954,1018.67341248793,1674.21491424919,441162,-94.57857,39.09973
Las Vegas,1992,888.433559114662,14.5934830516595,57.9317054474966,531.998791246858,283.909579368648,678385,-115.13722,36.17497
Long Beach,1992,1554.7647646524,23.3495358157183,48.9442193060249,804.436411804987,678.034597725665,445405,-118.18923,33.76696
Los Angeles,1992,2459.48184894706,30.2598223410979,51.7791475525917,1092.78341960886,1284.65945944451,3615355,-118.24368,34.05223
Los Angeles,1992,2029.7846239209,24.7085367994642,38.9051083816125,592.896512411705,1373.27446632812,922758,-118.24368,34.05223
Louisville,1992,NA,NA,NA,NA,NA,NA,-85.75941,38.25424
Memphis,1992,1552.63848361731,27.9869288321023,109.403449070945,849.307880069649,565.940225644614,628865,-90.04898,35.14953
Mesa,1992,681.938911022576,2.98804780876494,39.5086321381142,97.941567065073,541.500664010624,301200,-111.82264,33.42227
Miami,1992,3730.69442549446,34.2437351354099,72.767937162746,1890.09366196618,1733.58909123013,373791,-80.19366,25.77427
Miami,1992,1752.96099525334,14.9865260030103,60.0386134318127,692.710535250252,985.225320568267,1080971,-80.19366,25.77427
Milwaukee,1992,984.732907528106,22.7054650188098,81.3353301701199,674.010173914531,206.681938424645,643017,-87.90647,43.0389
